cdr_id,caller_person_id,receiver_person_id,duration_seconds,call_date
CDR0117,P087,P066,1573,2026-01-14
CDR0118,P126,P118,354,2025-11-18
CDR0119,P091,P044,296,2026-04-15
CDR0120,P140,P126,386,2026-06-19
CDR0121,P139,P016,1083,2026-06-06
CDR0122,P009,P020,1685,2026-06-15
CDR0123,P013,P002,854,2025-11-15
CDR0124,P036,P060,149,2026-01-26
CDR0125,P039,P003,457,2025-10-26
CDR0126,P130,P117,774,2026-04-24
CDR0127,P016,P124,1360,2025-12-10
CDR0128,P125,P005,23,2025-09-10
CDR0129,P137,P142,852,2025-12-16
CDR0130,P004,P005,1094,2026-03-19
CDR0131,P071,P138,597,2025-10-24
CDR0132,P005,P129,1675,2026-05-07
CDR0133,P111,P046,229,2025-12-16
CDR0134,P025,P135,314,2025-09-07
CDR0135,P062,P050,1279,2026-02-16
CDR0136,P135,P065,1679,2026-02-15
CDR0137,P091,P069,1638,2026-04-23
CDR0138,P102,P021,774,2026-04-21
CDR0139,P104,P118,1167,2025-10-06
CDR0140,P063,P058,624,2026-04-25
CDR0141,P021,P009,201,2026-07-26
CDR0142,P104,P098,782,2026-06-02
CDR0143,P142,P122,124,2026-05-24
CDR0144,P003,P044,179,2026-07-11
CDR0145,P128,P112,1330,2026-01-09
CDR0146,P085,P145,1767,2026-03-01
CDR0147,P025,P136,97,2026-01-22
CDR0148,P059,P055,1787,2025-10-17
CDR0149,P146,P122,565,2025-09-21
CDR0150,P012,P020,1411,2025-10-09
CDR0151,P072,P140,1164,2025-10-17
CDR0152,P009,P046,1751,2026-08-23
CDR0153,P081,P005,434,2026-08-07
CDR0154,P037,P102,167,2026-06-13
CDR0155,P077,P042,1164,2025-09-17
CDR0156,P062,P146,1719,2026-04-08
CDR0157,P100,P139,689,2026-03-20
CDR0158,P099,P036,1628,2026-04-17
CDR0159,P021,P129,1536,2026-01-30
CDR0160,P089,P014,210,2026-08-08
CDR0161,P112,P060,1727,2025-11-27
CDR0162,P020,P088,1249,2025-09-26
CDR0163,P102,P084,70,2026-01-11
CDR0164,P070,P116,1014,2025-12-30
CDR0165,P059,P092,1142,2026-02-14
CDR0166,P097,P111,390,2026-05-26
CDR0167,P150,P098,185,2026-06-14
CDR0168,P076,P064,1470,2025-12-17
CDR0169,P019,P022,558,2025-11-16
CDR0170,P040,P098,1467,2025-11-06
CDR0171,P040,P100,658,2026-07-24
CDR0172,P093,P028,197,2026-07-24
CDR0173,P002,P079,920,2026-04-03
CDR0174,P093,P070,219,2025-10-21
CDR0175,P034,P023,393,2026-03-09
CDR0176,P111,P115,1150,2026-07-30
CDR0177,P143,P132,845,2026-08-05
CDR0178,P027,P007,193,2025-11-10
CDR0179,P091,P142,200,2026-07-03
CDR0180,P084,P099,35,2026-03-05
CDR0181,P075,P106,804,2026-06-27
CDR0182,P022,P144,507,2025-09-19
CDR0183,P147,P134,357,2026-04-10
CDR0184,P098,P044,294,2026-07-25
CDR0185,P069,P078,559,2026-07-07
CDR0186,P127,P038,139,2026-01-08
CDR0187,P043,P112,575,2026-03-03
CDR0188,P108,P077,1001,2025-10-31
CDR0189,P020,P093,525,2025-09-14
CDR0190,P064,P127,1226,2025-11-07
CDR0191,P051,P118,229,2025-11-23
CDR0192,P035,P078,23,2026-07-23
CDR0193,P102,P086,1733,2026-07-21
CDR0194,P098,P085,911,2026-06-21
CDR0195,P086,P111,1680,2026-06-08
CDR0196,P035,P077,666,2026-03-16
CDR0197,P052,P123,653,2025-12-21
CDR0198,P046,P102,663,2026-04-26
CDR0199,P075,P126,1189,2026-05-07
CDR0200,P063,P084,780,2026-07-24
CDR0201,P072,P101,757,2026-03-07
CDR0202,P030,P145,419,2026-05-10
CDR0203,P140,P047,1406,2026-06-14
CDR0204,P141,P007,1499,2026-07-10
CDR0205,P119,P054,907,2025-10-24
CDR0206,P075,P018,1687,2026-06-28
CDR0207,P105,P128,295,2026-02-24
CDR0208,P078,P062,527,2025-12-24
CDR0209,P040,P109,1626,2026-06-18
CDR0210,P097,P019,929,2026-05-08
CDR0211,P123,P150,830,2025-12-12
CDR0212,P137,P130,1791,2026-05-02
CDR0213,P108,P140,85,2025-09-09
CDR0214,P093,P138,1226,2025-12-18
CDR0215,P022,P028,1584,2026-05-11
CDR0216,P064,P091,350,2026-01-12
CDR0217,P012,P145,1331,2026-04-28
CDR0218,P103,P085,1640,2026-09-02
CDR0219,P111,P028,31,2026-03-14
CDR0220,P026,P067,464,2026-01-25
CDR0221,P131,P133,1152,2026-01-25
CDR0222,P149,P148,462,2026-06-08
CDR0223,P115,P096,811,2025-11-18
CDR0224,P119,P129,318,2025-10-30
CDR0225,P089,P007,998,2026-04-16
CDR0226,P027,P076,861,2026-07-26
CDR0227,P022,P030,1712,2025-10-28
CDR0228,P037,P090,648,2026-08-18
CDR0229,P088,P117,1616,2026-06-02
CDR0230,P053,P134,999,2026-05-31
CDR0231,P090,P122,209,2026-01-23
CDR0232,P113,P116,663,2026-07-25
CDR0233,P018,P077,101,2026-04-05
CDR0234,P030,P006,1749,2025-09-18
CDR0235,P088,P028,1396,2025-10-03
CDR0236,P043,P063,1066,2026-05-11
CDR0237,P045,P142,337,2026-01-28
CDR0238,P085,P144,883,2026-08-15
CDR0239,P119,P060,1643,2026-05-02
CDR0240,P104,P048,391,2025-11-06
CDR0241,P111,P102,69,2025-10-19
CDR0242,P051,P116,1222,2025-11-10
CDR0243,P110,P100,19,2026-08-22
CDR0244,P055,P053,580,2025-09-17
CDR0245,P017,P148,218,2026-01-27
CDR0246,P138,P048,759,2025-10-17
CDR0247,P084,P051,947,2026-08-24
CDR0248,P030,P068,1383,2026-01-19
CDR0249,P126,P136,1318,2026-01-15
CDR0250,P081,P100,1261,2026-03-22
CDR0251,P101,P030,722,2026-03-05
CDR0252,P091,P118,1274,2025-09-27
CDR0253,P045,P077,1268,2025-10-21
CDR0254,P022,P035,651,2026-03-07
CDR0255,P031,P062,635,2026-06-01
CDR0256,P030,P047,774,2026-08-14
CDR0257,P037,P131,805,2025-12-16
CDR0258,P108,P036,1187,2026-05-11
CDR0259,P099,P109,390,2026-06-11
CDR0260,P125,P138,1430,2025-11-25
CDR0261,P045,P143,351,2025-11-15
CDR0262,P126,P074,297,2026-08-27
CDR0263,P048,P081,1734,2026-04-02
CDR0264,P116,P014,1782,2025-12-22
CDR0265,P092,P003,1002,2026-02-02
CDR0266,P035,P050,1679,2026-08-29
CDR0267,P099,P144,1045,2026-01-11
CDR0268,P127,P105,1412,2026-02-10
CDR0269,P126,P107,1464,2026-08-12
CDR0270,P114,P126,352,2025-12-10
CDR0271,P022,P145,73,2026-07-31
CDR0272,P057,P075,76,2026-01-08
CDR0273,P071,P058,1111,2026-04-05
CDR0274,P074,P044,1608,2026-02-17
CDR0275,P118,P145,1530,2026-07-18
CDR0276,P127,P141,1056,2026-08-26
CDR0277,P029,P147,243,2025-10-15
CDR0278,P069,P140,1696,2026-05-04
CDR0279,P094,P139,1694,2026-03-03
CDR0280,P011,P113,1128,2026-01-01
CDR0281,P056,P109,219,2025-11-18
CDR0282,P064,P077,76,2025-12-08
CDR0283,P116,P068,723,2026-04-23
CDR0284,P023,P113,1782,2025-09-20
CDR0285,P031,P061,439,2026-06-23
CDR0286,P090,P110,349,2026-07-05
CDR0287,P036,P053,1676,2025-11-08
CDR0288,P053,P016,1177,2026-06-16
CDR0289,P090,P137,585,2026-07-07
CDR0290,P138,P044,672,2026-05-16
CDR0291,P075,P147,557,2026-05-08
CDR0292,P132,P025,287,2025-10-03
CDR0293,P106,P016,577,2025-10-25
CDR0294,P033,P034,521,2025-09-20
CDR0295,P038,P083,1706,2025-11-15
CDR0296,P064,P101,1012,2026-06-09
CDR0297,P037,P148,1305,2026-07-10
CDR0298,P069,P107,778,2026-01-06
CDR0299,P116,P020,1307,2026-02-02
CDR0300,P024,P104,1065,2026-01-17
CDR0301,P072,P095,941,2026-05-25
CDR0302,P125,P084,1201,2026-03-20
CDR0303,P001,P024,1506,2026-04-18
CDR0304,P118,P092,1751,2026-01-16
CDR0305,P017,P137,824,2026-02-25
CDR0306,P056,P110,1699,2026-01-05
CDR0307,P055,P127,559,2025-12-12
CDR0308,P083,P073,701,2026-05-03
CDR0309,P141,P148,277,2025-11-06
CDR0310,P145,P125,1624,2025-10-03
CDR0311,P088,P013,104,2026-03-23
CDR0312,P026,P118,43,2026-03-18
CDR0313,P032,P041,913,2026-02-12
CDR0314,P117,P001,886,2026-03-06
CDR0315,P052,P034,1341,2025-09-15
CDR0316,P078,P041,1800,2026-05-26
CDR0317,P071,P024,1350,2025-09-21
CDR0318,P093,P065,178,2026-05-26
CDR0319,P096,P043,116,2026-08-14
CDR0320,P102,P079,1496,2026-03-25
CDR0321,P060,P110,1352,2026-03-03
CDR0322,P024,P025,12,2025-11-20
CDR0323,P055,P123,169,2026-03-20
CDR0324,P034,P058,1073,2025-12-22
CDR0325,P114,P003,26,2026-02-02
CDR0326,P088,P031,1771,2026-07-08
CDR0327,P109,P034,988,2026-03-09
CDR0328,P019,P059,794,2026-03-15
CDR0329,P023,P027,221,2026-02-16
CDR0330,P081,P095,622,2026-01-23
CDR0331,P036,P098,1594,2025-09-24
CDR0332,P035,P037,150,2026-04-19
CDR0333,P136,P145,27,2026-02-16
CDR0334,P043,P113,729,2026-03-11
CDR0335,P055,P039,853,2026-03-22
CDR0336,P114,P056,187,2025-09-07
CDR0337,P026,P036,1551,2026-04-24
CDR0338,P032,P099,729,2026-05-06
CDR0339,P110,P081,1630,2025-10-30
CDR0340,P036,P064,577,2026-08-10
CDR0341,P022,P064,1143,2025-12-17
CDR0342,P073,P007,1746,2026-05-22
CDR0343,P078,P053,1070,2026-01-19
CDR0344,P131,P049,1541,2026-04-07
CDR0345,P101,P076,1333,2026-06-25
CDR0346,P014,P062,1023,2026-01-12
CDR0347,P099,P029,503,2026-05-24
CDR0348,P128,P019,1091,2026-06-21
CDR0349,P004,P093,658,2026-08-05
CDR0350,P034,P100,1772,2026-04-03
CDR0351,P146,P108,758,2026-06-05
CDR0352,P140,P045,1572,2025-11-28
CDR0353,P121,P019,44,2025-09-07
CDR0354,P018,P004,546,2026-07-14
CDR0355,P056,P011,133,2026-08-23
CDR0356,P102,P130,596,2026-04-03
CDR0357,P129,P107,877,2025-11-02
CDR0358,P103,P022,1321,2026-06-26
CDR0359,P138,P040,578,2026-04-02
CDR0360,P022,P080,171,2026-01-14
CDR0361,P131,P053,1664,2025-09-15
CDR0362,P040,P138,679,2026-06-10
CDR0363,P101,P017,645,2026-04-06
CDR0364,P112,P062,128,2026-01-21
CDR0365,P063,P023,899,2026-02-05
CDR0366,P030,P117,1263,2026-03-27
CDR0367,P015,P080,1374,2026-05-19
CDR0368,P045,P031,35,2025-12-15
CDR0369,P036,P003,345,2025-11-04
CDR0370,P128,P089,1081,2026-08-16
CDR0371,P133,P067,351,2026-07-24
CDR0372,P096,P033,1545,2026-02-21
CDR0373,P069,P031,1589,2025-09-08
CDR0374,P008,P086,1662,2026-02-14
CDR0375,P110,P070,1082,2026-08-06
CDR0376,P017,P068,1468,2026-05-11
CDR0377,P148,P020,1026,2025-09-03
CDR0378,P117,P131,747,2025-09-05
CDR0379,P015,P128,1769,2026-01-20
CDR0380,P146,P043,763,2026-07-22
CDR0381,P041,P066,1593,2025-11-06
CDR0382,P027,P147,1390,2025-09-27
CDR0383,P030,P059,1527,2025-11-17
CDR0384,P131,P001,100,2026-06-19
CDR0385,P004,P063,104,2025-11-06
CDR0386,P121,P094,794,2026-08-02
CDR0387,P039,P046,1766,2025-12-19
CDR0388,P010,P142,1654,2026-07-15
CDR0389,P108,P058,669,2026-05-30
CDR0390,P064,P107,1485,2025-09-17
CDR0391,P082,P070,1701,2026-07-31
CDR0392,P020,P147,773,2025-09-23
CDR0393,P031,P129,1388,2026-05-30
CDR0394,P014,P046,467,2025-10-19
CDR0395,P133,P012,831,2026-06-21
CDR0396,P018,P120,1783,2025-12-21
CDR0397,P073,P080,680,2025-11-13
CDR0398,P023,P142,945,2026-07-22
CDR0399,P003,P095,420,2026-05-25
CDR0400,P075,P145,1616,2026-01-10
CDR0401,P078,P063,960,2025-11-05
CDR0402,P095,P127,1592,2025-11-28
CDR0403,P051,P140,1567,2025-11-09
CDR0404,P063,P039,23,2026-07-27
CDR0405,P105,P007,487,2026-06-26
CDR0406,P139,P089,1312,2026-07-10
CDR0407,P003,P086,12,2025-09-11
CDR0408,P097,P079,222,2025-12-27
CDR0409,P053,P136,497,2025-11-10
CDR0410,P108,P126,132,2026-04-09
CDR0411,P037,P072,200,2026-03-01
CDR0412,P012,P060,1741,2025-10-20
CDR0413,P134,P106,1445,2026-03-21
CDR0414,P096,P118,1541,2026-05-23
CDR0415,P022,P149,205,2026-02-17
CDR0416,P130,P035,1315,2025-09-16
CDR0417,P101,P020,1222,2026-01-18
CDR0418,P146,P016,900,2026-01-13
CDR0419,P034,P061,607,2025-11-26
CDR0420,P067,P081,1650,2025-09-03
CDR0421,P101,P084,661,2025-12-28
CDR0422,P116,P070,488,2025-09-23
CDR0423,P020,P052,288,2026-07-03
CDR0424,P150,P028,328,2026-03-07
CDR0425,P028,P043,930,2026-06-19
CDR0426,P120,P081,842,2026-02-20
CDR0427,P031,P138,743,2025-12-02
CDR0428,P054,P116,641,2026-02-26
CDR0429,P119,P068,1755,2026-06-11
CDR0430,P031,P024,332,2026-01-05
CDR0431,P078,P011,450,2026-05-22
CDR0432,P084,P038,196,2026-01-27
CDR0433,P064,P092,821,2026-07-03
CDR0434,P132,P013,1396,2026-05-07
CDR0435,P077,P067,1689,2025-10-16
CDR0436,P045,P008,838,2025-12-11
CDR0437,P116,P143,1542,2026-01-19
CDR0438,P141,P064,203,2025-12-25
CDR0439,P119,P027,1656,2025-12-21
CDR0440,P036,P032,34,2026-02-09
CDR0441,P016,P057,277,2025-12-12
CDR0442,P051,P103,772,2026-03-22
CDR0443,P022,P150,1210,2026-03-19
CDR0444,P067,P020,54,2026-01-18
CDR0445,P017,P051,1332,2026-03-15
CDR0446,P114,P033,198,2025-09-17
CDR0447,P085,P032,97,2026-06-10
CDR0448,P119,P013,354,2026-03-30
CDR0449,P147,P111,1692,2025-10-08
CDR0450,P102,P128,70,2026-01-30
CDR0451,P098,P110,363,2026-01-17
CDR0452,P091,P055,393,2026-03-23
CDR0453,P071,P072,923,2025-11-19
CDR0454,P039,P009,1267,2026-02-16
CDR0455,P063,P076,1031,2026-08-30
CDR0456,P106,P141,991,2026-08-26
CDR0457,P016,P023,582,2026-01-31
CDR0458,P099,P036,868,2025-12-07
CDR0459,P052,P135,520,2026-05-05
CDR0460,P140,P005,793,2025-10-20
CDR0461,P092,P123,1125,2025-09-04
CDR0462,P125,P089,1168,2025-10-18
CDR0463,P129,P083,805,2026-07-19
CDR0464,P070,P047,63,2026-08-29
CDR0465,P082,P057,70,2025-09-25
CDR0466,P072,P015,1666,2026-03-31
CDR0467,P121,P136,742,2026-04-22
CDR0468,P150,P060,336,2025-11-15
CDR0469,P026,P064,1355,2026-01-24
CDR0470,P062,P069,1102,2025-10-23
CDR0471,P015,P057,1189,2025-10-16
CDR0472,P100,P091,1728,2026-05-01
CDR0473,P045,P046,494,2026-04-29
CDR0474,P082,P092,1221,2026-01-20
CDR0475,P008,P091,1172,2025-09-30
CDR0476,P145,P037,1163,2026-06-26
CDR0477,P049,P127,1120,2026-05-31
CDR0478,P080,P045,1014,2025-10-24
CDR0479,P010,P024,125,2025-12-30
CDR0480,P060,P057,50,2026-03-28
CDR0481,P135,P123,11,2025-11-22
CDR0482,P085,P052,1661,2025-11-27
CDR0483,P034,P088,1478,2025-12-19
CDR0484,P046,P083,131,2026-06-28
CDR0485,P006,P038,1211,2026-06-30
CDR0486,P037,P029,1743,2025-10-30
CDR0487,P135,P094,158,2026-07-27
CDR0488,P096,P102,1210,2026-06-24
CDR0489,P026,P087,628,2025-12-02
CDR0490,P083,P035,332,2025-09-23
CDR0491,P112,P125,1339,2026-04-14
CDR0492,P082,P045,1458,2026-03-15
CDR0493,P144,P092,467,2026-02-15
CDR0494,P045,P097,638,2026-07-06
CDR0495,P076,P033,373,2026-01-20
CDR0496,P001,P147,811,2026-06-13
CDR0497,P146,P009,382,2026-09-02
CDR0498,P082,P057,1319,2026-06-03
CDR0499,P145,P027,1026,2025-12-31
CDR0500,P037,P085,1536,2025-09-18
CDR0501,P020,P061,720,2026-05-18
CDR0502,P082,P043,1312,2025-09-08
CDR0503,P023,P086,924,2026-03-21
CDR0504,P003,P068,439,2025-10-27
CDR0505,P064,P018,727,2025-10-27
CDR0506,P066,P028,1485,2026-01-24
CDR0507,P001,P013,800,2025-09-26
CDR0508,P113,P108,350,2026-03-13
CDR0509,P106,P127,785,2026-01-21
CDR0510,P090,P140,778,2026-08-07
CDR0511,P026,P123,1625,2026-05-05
CDR0512,P148,P058,343,2025-11-26
CDR0513,P116,P019,1646,2025-09-27
CDR0514,P009,P076,51,2026-01-28
CDR0515,P082,P067,224,2026-07-15
CDR0516,P019,P088,358,2026-04-19
CDR0517,P097,P042,1509,2026-07-27
CDR0518,P020,P141,200,2026-03-09
CDR0519,P087,P124,1452,2026-04-11
CDR0520,P008,P111,1348,2026-08-16
CDR0521,P043,P112,331,2025-10-11
CDR0522,P014,P026,688,2025-09-19
CDR0523,P053,P049,848,2025-12-11
CDR0524,P142,P139,553,2026-01-19
CDR0525,P073,P077,496,2025-12-20
CDR0526,P025,P013,814,2026-03-21
CDR0527,P147,P141,1730,2026-03-04
CDR0528,P126,P040,121,2026-06-11
CDR0529,P093,P001,885,2026-03-08
CDR0530,P023,P076,1697,2025-11-29
CDR0531,P123,P052,208,2025-12-12
CDR0532,P007,P053,359,2025-10-12
CDR0533,P075,P021,979,2026-05-17
CDR0534,P030,P079,1617,2026-02-07
CDR0535,P102,P121,1011,2026-06-15
CDR0536,P068,P024,1324,2026-05-10
CDR0537,P140,P100,388,2026-07-25
CDR0538,P095,P098,766,2026-02-11
CDR0539,P048,P115,101,2025-12-23
CDR0540,P068,P113,962,2025-09-03
CDR0541,P068,P058,1724,2026-07-31
CDR0542,P069,P145,136,2026-06-15
CDR0543,P039,P025,185,2025-10-29
CDR0544,P089,P139,857,2025-12-07
CDR0545,P059,P142,134,2025-09-23
CDR0546,P100,P134,867,2025-09-21
CDR0547,P138,P122,1182,2026-08-10
CDR0548,P061,P122,622,2026-03-26
CDR0549,P021,P102,1758,2025-12-11
CDR0550,P009,P129,1179,2026-07-26
CDR0551,P133,P147,1397,2026-01-05
CDR0552,P038,P031,1560,2026-04-28
CDR0553,P115,P045,352,2026-09-01
CDR0554,P055,P050,268,2025-10-31
CDR0555,P011,P109,170,2025-11-11
CDR0556,P112,P052,1694,2026-03-24
CDR0557,P038,P067,664,2026-02-01
CDR0558,P018,P023,804,2025-10-29
CDR0559,P143,P102,1140,2025-09-12
CDR0560,P084,P071,1074,2026-03-20
CDR0561,P118,P004,1620,2026-03-10
CDR0562,P134,P108,240,2026-04-03
CDR0563,P107,P039,313,2026-01-07
CDR0564,P146,P150,1563,2026-01-04
CDR0565,P026,P028,1162,2025-11-10
CDR0566,P026,P074,1786,2025-11-05
CDR0567,P138,P089,851,2026-01-09
CDR0568,P068,P099,1351,2026-03-26
CDR0569,P125,P147,1257,2026-04-03
CDR0570,P122,P010,362,2026-06-24
CDR0571,P071,P104,304,2026-07-24
CDR0572,P103,P010,820,2026-04-28
CDR0573,P085,P061,110,2026-03-18
CDR0574,P122,P069,772,2026-08-27
CDR0575,P006,P087,1684,2026-02-04
CDR0576,P078,P080,584,2026-02-03
CDR0577,P126,P026,1789,2025-09-07
CDR0578,P059,P035,625,2026-03-11
CDR0579,P114,P083,561,2025-11-10
CDR0580,P107,P023,394,2026-01-06
CDR0581,P114,P055,1697,2025-11-14
CDR0582,P105,P125,1565,2026-02-09
CDR0583,P133,P096,1691,2026-08-20
CDR0584,P015,P132,1630,2026-04-04
CDR0585,P041,P017,647,2026-04-19
CDR0586,P130,P104,287,2026-05-12
CDR0587,P135,P146,69,2026-06-10
CDR0588,P045,P050,1715,2025-10-16
CDR0589,P052,P015,520,2026-01-08
CDR0590,P009,P117,113,2025-12-30
CDR0591,P093,P051,571,2026-08-25
CDR0592,P095,P119,1044,2025-12-13
CDR0593,P102,P032,1405,2026-01-26
CDR0594,P008,P062,772,2026-07-30
CDR0595,P126,P115,373,2026-06-10
CDR0596,P122,P142,726,2026-05-02
CDR0597,P089,P042,1725,2025-11-15
CDR0598,P067,P024,593,2026-05-26
CDR0599,P008,P099,111,2026-02-10
CDR0600,P042,P147,1607,2026-06-27
CDR0601,P055,P057,1335,2026-04-22
CDR0602,P058,P053,561,2026-04-16
CDR0603,P105,P132,51,2026-03-08
CDR0604,P003,P122,280,2026-02-07
CDR0605,P045,P003,468,2025-10-09
CDR0606,P065,P079,1469,2025-12-27
CDR0607,P071,P109,781,2026-07-07
CDR0608,P090,P118,526,2026-02-14
CDR0609,P056,P120,628,2026-07-07
CDR0610,P134,P102,1207,2025-11-07
CDR0611,P027,P002,1057,2026-04-02
CDR0612,P096,P144,1335,2026-01-21
CDR0613,P073,P077,1411,2026-01-02
CDR0614,P028,P124,140,2026-06-10
CDR0615,P087,P071,1321,2026-04-30
CDR0616,P084,P071,544,2026-05-29
CDR0617,P077,P049,317,2026-08-18
CDR0618,P133,P062,126,2026-02-25
CDR0619,P104,P082,1404,2026-05-01
CDR0620,P036,P007,1352,2025-10-05
CDR0621,P128,P076,541,2025-09-24
CDR0622,P108,P104,805,2026-04-13
CDR0623,P010,P150,1460,2026-05-29
CDR0624,P147,P049,712,2026-01-20
CDR0625,P057,P137,1317,2026-01-02
CDR0626,P122,P092,1048,2026-04-22
CDR0627,P077,P044,1731,2025-09-23
CDR0628,P143,P047,611,2025-12-15
CDR0629,P025,P121,272,2026-05-14
CDR0630,P067,P144,1572,2026-06-12
CDR0631,P047,P086,1350,2026-07-10
CDR0632,P023,P057,737,2026-05-15
CDR0633,P058,P079,871,2025-12-29
CDR0634,P085,P096,543,2026-07-15
CDR0635,P150,P076,959,2026-04-01
CDR0636,P031,P121,119,2026-04-15
CDR0637,P150,P149,1281,2025-11-25
CDR0638,P019,P121,408,2025-09-23
CDR0639,P129,P031,1786,2025-11-07
CDR0640,P098,P136,621,2026-03-24
CDR0641,P106,P014,1793,2026-03-03
CDR0642,P039,P036,420,2026-04-30
CDR0643,P088,P105,1176,2026-01-08
CDR0644,P118,P037,657,2026-05-28
CDR0645,P047,P021,1008,2025-11-07
CDR0646,P086,P046,651,2026-03-08
CDR0647,P015,P002,935,2026-03-31
CDR0648,P071,P054,1568,2026-04-06
CDR0649,P044,P148,1575,2026-06-26
CDR0650,P041,P126,1618,2025-10-01
