event_id,vehicle_id,person_id,location_id,event_date
VE0295,V047,P041,L007,2026-01-03
VE0296,V039,P130,L005,2025-10-29
VE0297,V005,P062,L015,2026-02-26
VE0298,V018,P086,L011,2026-07-08
VE0299,V027,P020,L003,2026-06-29
VE0300,V017,P010,L023,2025-10-17
VE0301,V048,P076,L005,2025-10-07
VE0302,V034,P138,L014,2025-09-20
VE0303,V048,P011,L027,2026-08-03
VE0304,V024,P006,L025,2026-03-13
VE0305,V022,P061,L016,2026-05-20
VE0306,V026,P110,L014,2026-02-27
VE0307,V048,P012,L017,2025-09-30
VE0308,V045,P025,L004,2026-01-24
VE0309,V048,P033,L014,2025-12-09
VE0310,V050,P005,L002,2026-03-02
VE0311,V013,P015,L017,2026-06-03
VE0312,V014,P093,L013,2025-09-06
VE0313,V026,P023,L027,2026-03-20
VE0314,V049,P007,L013,2025-10-28
VE0315,V010,P117,L003,2025-09-30
VE0316,V021,P055,L004,2026-01-02
VE0317,V012,P056,L009,2025-11-19
VE0318,V022,P092,L002,2026-04-04
VE0319,V028,P131,L018,2025-11-06
VE0320,V012,P112,L019,2025-10-29
VE0321,V007,P125,L021,2025-11-13
VE0322,V032,P109,L025,2026-09-03
VE0323,V036,P037,L020,2026-08-29
VE0324,V014,P135,L027,2026-06-29
VE0325,V017,P075,L024,2025-10-19
VE0326,V003,P030,L008,2026-04-10
VE0327,V020,P142,L001,2025-12-14
VE0328,V034,P115,L025,2025-09-05
VE0329,V013,P088,L010,2026-06-11
VE0330,V016,P123,L028,2025-10-23
VE0331,V043,P141,L024,2026-05-01
VE0332,V034,P035,L014,2026-02-23
VE0333,V003,P055,L008,2026-02-07
VE0334,V042,P096,L020,2026-02-15
VE0335,V047,P032,L002,2026-04-12
VE0336,V007,P095,L015,2026-01-13
VE0337,V045,P005,L020,2026-02-15
VE0338,V004,P130,L012,2025-11-14
VE0339,V037,P149,L023,2026-02-08
VE0340,V005,P075,L010,2026-01-21
VE0341,V037,P047,L030,2025-09-09
VE0342,V002,P116,L009,2026-04-23
VE0343,V038,P043,L013,2025-11-28
VE0344,V049,P147,L020,2026-08-28
VE0345,V041,P108,L025,2026-08-15
VE0346,V040,P147,L026,2026-06-07
VE0347,V025,P076,L027,2025-10-25
VE0348,V036,P117,L003,2026-05-03
VE0349,V034,P076,L005,2025-10-17
VE0350,V035,P094,L019,2025-11-04
VE0351,V025,P146,L008,2026-01-03
VE0352,V010,P085,L019,2026-01-11
VE0353,V007,P076,L001,2025-09-25
VE0354,V050,P129,L029,2025-11-20
VE0355,V020,P146,L020,2026-04-27
VE0356,V013,P045,L029,2026-04-21
VE0357,V013,P028,L006,2026-02-13
VE0358,V050,P058,L010,2026-05-27
VE0359,V050,P037,L025,2026-07-19
VE0360,V028,P104,L019,2025-12-25
VE0361,V036,P015,L014,2026-01-29
VE0362,V040,P006,L018,2026-05-12
VE0363,V031,P040,L013,2026-05-02
VE0364,V041,P031,L015,2025-12-15
VE0365,V049,P107,L029,2025-09-11
VE0366,V002,P114,L006,2025-11-29
VE0367,V048,P056,L010,2025-10-29
VE0368,V036,P059,L017,2026-06-22
VE0369,V039,P057,L011,2026-06-01
VE0370,V043,P093,L021,2026-08-27
VE0371,V016,P134,L005,2025-10-20
VE0372,V043,P144,L025,2025-11-19
VE0373,V002,P073,L027,2025-12-20
VE0374,V001,P089,L014,2026-02-03
VE0375,V043,P031,L005,2025-11-29
VE0376,V045,P145,L020,2026-04-07
VE0377,V028,P088,L001,2025-10-01
VE0378,V036,P038,L013,2026-03-01
VE0379,V038,P092,L018,2025-10-03
VE0380,V044,P038,L014,2026-06-24
VE0381,V043,P069,L003,2025-09-05
VE0382,V036,P098,L019,2025-12-21
VE0383,V025,P089,L014,2026-09-02
VE0384,V041,P019,L030,2026-07-29
VE0385,V014,P004,L018,2026-07-22
VE0386,V031,P110,L004,2025-09-25
VE0387,V044,P038,L025,2026-03-18
VE0388,V013,P136,L011,2026-06-28
VE0389,V037,P087,L030,2026-01-02
VE0390,V049,P031,L009,2026-08-13
VE0391,V013,P069,L013,2026-06-24
VE0392,V035,P039,L008,2026-07-13
VE0393,V038,P080,L028,2025-12-12
VE0394,V033,P070,L021,2026-03-14
VE0395,V003,P008,L027,2026-06-01
VE0396,V011,P123,L025,2026-06-10
VE0397,V015,P001,L001,2026-02-15
VE0398,V043,P132,L014,2026-06-03
VE0399,V039,P101,L030,2026-09-01
VE0400,V025,P017,L002,2026-05-25
VE0401,V008,P100,L017,2025-09-05
VE0402,V013,P020,L003,2026-08-04
VE0403,V043,P050,L027,2026-03-07
VE0404,V040,P086,L027,2025-10-19
VE0405,V002,P013,L003,2026-08-20
VE0406,V025,P136,L002,2025-11-20
VE0407,V040,P072,L003,2026-01-14
VE0408,V019,P019,L028,2026-05-09
VE0409,V048,P083,L002,2025-10-08
VE0410,V030,P105,L025,2026-07-25
VE0411,V012,P134,L007,2026-03-17
VE0412,V038,P114,L021,2026-05-08
VE0413,V027,P037,L002,2025-10-17
VE0414,V047,P095,L008,2026-05-01
VE0415,V041,P072,L009,2026-06-30
VE0416,V002,P127,L015,2026-01-16
VE0417,V029,P073,L013,2026-07-05
VE0418,V011,P015,L023,2026-06-19
VE0419,V029,P036,L024,2026-07-01
VE0420,V026,P106,L022,2026-05-09
VE0421,V009,P036,L012,2025-10-04
VE0422,V002,P143,L026,2025-09-25
VE0423,V006,P126,L024,2026-05-07
VE0424,V041,P122,L030,2026-02-08
VE0425,V025,P013,L006,2026-06-19
VE0426,V037,P018,L025,2026-01-13
VE0427,V050,P068,L001,2026-06-07
VE0428,V026,P135,L022,2026-08-30
VE0429,V035,P068,L003,2026-08-14
VE0430,V013,P051,L007,2026-03-18
VE0431,V030,P060,L003,2025-12-12
VE0432,V009,P081,L012,2026-07-20
VE0433,V046,P044,L007,2025-11-06
VE0434,V023,P103,L004,2025-10-05
VE0435,V030,P140,L030,2026-03-17
VE0436,V006,P119,L001,2026-07-30
VE0437,V014,P043,L022,2026-03-11
VE0438,V007,P021,L020,2026-03-28
VE0439,V011,P001,L013,2025-09-20
VE0440,V008,P057,L025,2026-07-27
VE0441,V028,P061,L027,2026-07-16
VE0442,V033,P082,L005,2026-05-13
VE0443,V030,P127,L018,2026-02-11
VE0444,V037,P089,L013,2026-08-29
VE0445,V008,P049,L007,2025-12-20
VE0446,V029,P020,L029,2026-01-20
VE0447,V043,P140,L010,2026-02-13
VE0448,V020,P068,L019,2025-09-20
VE0449,V004,P044,L028,2025-09-28
VE0450,V038,P083,L002,2026-05-03
VE0451,V010,P102,L010,2026-08-18
VE0452,V033,P012,L027,2026-08-17
VE0453,V007,P111,L009,2025-11-28
VE0454,V019,P014,L008,2026-02-23
VE0455,V029,P053,L022,2025-12-07
VE0456,V017,P027,L013,2026-06-28
VE0457,V031,P137,L004,2026-02-10
VE0458,V010,P119,L024,2025-10-12
VE0459,V032,P132,L006,2026-04-19
VE0460,V012,P020,L001,2025-12-14
VE0461,V011,P024,L029,2026-06-13
VE0462,V032,P138,L027,2026-07-26
VE0463,V012,P027,L021,2026-02-26
VE0464,V013,P067,L017,2026-01-31
VE0465,V027,P044,L019,2026-04-13
VE0466,V035,P088,L024,2026-04-10
VE0467,V032,P113,L008,2025-12-02
VE0468,V049,P110,L028,2025-10-07
VE0469,V015,P139,L008,2025-10-09
VE0470,V008,P132,L006,2025-10-04
VE0471,V035,P082,L014,2026-03-06
VE0472,V002,P087,L008,2026-05-26
VE0473,V037,P116,L024,2026-06-29
VE0474,V002,P127,L026,2025-09-22
VE0475,V045,P140,L024,2026-05-14
VE0476,V041,P110,L013,2026-08-01
VE0477,V044,P031,L015,2026-04-18
VE0478,V031,P016,L013,2026-07-05
VE0479,V032,P061,L029,2025-09-20
VE0480,V026,P133,L025,2025-10-14
VE0481,V010,P004,L012,2026-02-05
VE0482,V049,P001,L013,2026-06-30
VE0483,V035,P037,L003,2026-07-11
VE0484,V043,P044,L006,2026-04-04
VE0485,V015,P090,L011,2025-12-30
VE0486,V044,P041,L003,2026-03-21
VE0487,V026,P094,L001,2026-05-06
VE0488,V050,P086,L018,2026-03-16
VE0489,V029,P027,L022,2025-09-11
VE0490,V017,P104,L019,2025-09-08
VE0491,V010,P019,L017,2026-04-21
VE0492,V042,P045,L003,2025-11-11
VE0493,V037,P036,L011,2026-01-18
VE0494,V037,P102,L015,2026-01-14
VE0495,V049,P011,L018,2026-07-20
VE0496,V038,P137,L025,2026-03-21
VE0497,V044,P069,L008,2026-06-14
VE0498,V028,P139,L010,2026-04-08
VE0499,V035,P005,L006,2026-08-10
VE0500,V009,P010,L028,2026-05-17
VE0501,V022,P009,L020,2026-05-13
VE0502,V045,P059,L022,2026-04-03
VE0503,V035,P111,L024,2026-02-09
VE0504,V039,P065,L017,2026-07-12
VE0505,V019,P034,L010,2026-07-12
VE0506,V039,P087,L028,2026-05-30
VE0507,V048,P132,L018,2026-02-13
VE0508,V041,P017,L021,2025-10-03
VE0509,V006,P073,L012,2026-06-25
VE0510,V029,P140,L017,2026-06-04
VE0511,V030,P010,L023,2026-08-06
VE0512,V042,P113,L003,2026-03-23
VE0513,V023,P046,L008,2026-05-05
VE0514,V035,P103,L015,2026-03-31
VE0515,V025,P123,L007,2026-02-25
VE0516,V035,P048,L001,2026-08-13
VE0517,V040,P116,L009,2025-11-21
VE0518,V025,P020,L020,2025-09-26
VE0519,V005,P119,L016,2025-09-09
VE0520,V040,P137,L016,2025-11-18
VE0521,V025,P139,L005,2025-11-11
VE0522,V040,P148,L030,2026-08-24
VE0523,V028,P130,L016,2026-01-10
VE0524,V046,P040,L027,2026-03-23
VE0525,V009,P082,L017,2026-05-27
VE0526,V037,P051,L016,2026-03-03
VE0527,V048,P010,L026,2025-12-07
VE0528,V042,P137,L011,2025-11-24
VE0529,V044,P135,L001,2026-04-04
VE0530,V026,P048,L022,2026-07-02
VE0531,V041,P061,L012,2025-10-26
VE0532,V004,P069,L029,2026-03-11
VE0533,V002,P093,L025,2026-05-27
VE0534,V025,P098,L024,2026-05-12
VE0535,V040,P085,L022,2025-11-20
VE0536,V030,P146,L002,2026-08-09
VE0537,V002,P032,L006,2026-04-23
VE0538,V018,P139,L006,2026-07-21
VE0539,V050,P088,L028,2026-04-19
VE0540,V024,P069,L009,2025-11-30
VE0541,V012,P135,L013,2026-07-19
VE0542,V030,P101,L007,2026-02-20
VE0543,V009,P091,L027,2026-01-22
VE0544,V040,P076,L006,2025-09-29
VE0545,V041,P064,L021,2025-10-16
VE0546,V009,P137,L024,2026-02-01
VE0547,V037,P069,L026,2026-05-16
VE0548,V026,P057,L028,2026-03-26
VE0549,V013,P140,L029,2025-09-29
VE0550,V037,P027,L011,2026-02-01
VE0551,V026,P043,L009,2025-12-02
VE0552,V006,P084,L006,2025-09-13
VE0553,V035,P087,L024,2025-12-30
VE0554,V031,P046,L030,2026-05-03
VE0555,V022,P100,L006,2026-02-05
VE0556,V037,P044,L013,2025-10-25
VE0557,V038,P057,L028,2026-04-01
VE0558,V045,P057,L011,2025-09-19
VE0559,V034,P095,L004,2026-02-23
VE0560,V015,P130,L004,2026-07-17
VE0561,V036,P101,L012,2026-09-02
VE0562,V024,P007,L021,2026-06-14
VE0563,V032,P133,L009,2025-10-01
VE0564,V025,P144,L011,2025-09-03
VE0565,V002,P083,L025,2026-05-21
VE0566,V032,P074,L027,2026-08-19
VE0567,V017,P058,L001,2026-04-25
VE0568,V013,P079,L021,2026-03-10
VE0569,V040,P031,L029,2025-09-16
VE0570,V044,P132,L027,2025-09-03
VE0571,V037,P020,L030,2026-03-06
VE0572,V008,P124,L020,2025-12-11
VE0573,V031,P043,L002,2026-03-31
VE0574,V013,P134,L027,2025-09-17
VE0575,V046,P086,L019,2025-12-07
VE0576,V016,P069,L026,2025-12-13
VE0577,V003,P023,L027,2025-09-21
VE0578,V024,P054,L013,2025-11-29
VE0579,V020,P023,L011,2026-08-28
VE0580,V019,P117,L004,2026-07-11
VE0581,V021,P084,L007,2026-07-28
VE0582,V007,P056,L024,2026-01-18
VE0583,V012,P094,L020,2026-08-23
VE0584,V014,P108,L016,2026-07-04
VE0585,V047,P135,L004,2025-09-24
VE0586,V016,P110,L015,2026-06-13
VE0587,V021,P012,L001,2025-09-26
VE0588,V040,P069,L028,2026-02-23
VE0589,V010,P028,L010,2026-07-20
VE0590,V050,P023,L002,2026-03-13
VE0591,V050,P091,L006,2026-07-02
VE0592,V030,P099,L020,2026-07-06
VE0593,V034,P032,L023,2026-02-19
VE0594,V038,P135,L016,2025-10-23
VE0595,V036,P016,L020,2026-05-04
VE0596,V047,P034,L025,2026-04-30
VE0597,V031,P002,L009,2026-08-10
VE0598,V024,P034,L008,2025-10-27
VE0599,V033,P135,L018,2026-04-15
VE0600,V050,P090,L013,2026-06-13
VE0601,V011,P036,L030,2025-09-09
VE0602,V022,P143,L026,2025-10-01
VE0603,V050,P110,L014,2026-07-04
VE0604,V004,P084,L028,2026-02-08
VE0605,V050,P150,L017,2026-05-23
VE0606,V027,P116,L018,2026-03-28
VE0607,V029,P072,L010,2025-12-07
VE0608,V011,P036,L016,2025-12-08
VE0609,V046,P087,L017,2026-02-10
VE0610,V022,P072,L018,2026-02-22
VE0611,V041,P087,L024,2025-10-28
VE0612,V038,P109,L012,2026-03-22
VE0613,V021,P074,L006,2026-07-04
VE0614,V033,P033,L010,2026-06-12
VE0615,V040,P031,L003,2026-02-06
VE0616,V045,P110,L011,2026-03-15
VE0617,V002,P035,L030,2026-01-29
VE0618,V001,P011,L002,2026-01-11
VE0619,V010,P079,L012,2026-08-26
VE0620,V041,P059,L019,2026-01-22
VE0621,V042,P060,L003,2026-08-27
VE0622,V016,P034,L021,2026-07-02
VE0623,V008,P084,L028,2025-12-18
VE0624,V021,P018,L007,2025-10-11
VE0625,V001,P083,L011,2026-05-16
VE0626,V031,P009,L017,2025-09-16
VE0627,V014,P109,L018,2026-01-14
VE0628,V048,P047,L022,2025-09-14
VE0629,V007,P073,L010,2025-10-01
VE0630,V019,P134,L017,2025-12-11
VE0631,V040,P099,L013,2025-10-14
VE0632,V038,P126,L005,2026-04-09
VE0633,V032,P057,L014,2025-12-22
VE0634,V029,P113,L024,2026-08-13
VE0635,V019,P106,L005,2025-11-03
VE0636,V048,P002,L005,2025-09-24
VE0637,V024,P132,L024,2025-11-09
VE0638,V046,P043,L030,2026-06-29
VE0639,V024,P074,L007,2026-02-10
VE0640,V005,P135,L007,2026-05-14
VE0641,V012,P140,L026,2026-06-15
VE0642,V007,P035,L007,2025-10-02
VE0643,V005,P033,L007,2026-08-07
VE0644,V039,P037,L029,2026-08-23
VE0645,V042,P002,L021,2026-08-03
VE0646,V020,P024,L002,2026-03-30
VE0647,V025,P003,L029,2026-03-22
VE0648,V006,P134,L008,2026-04-11
VE0649,V027,P068,L016,2025-12-22
VE0650,V011,P053,L023,2025-11-17
VE0651,V036,P119,L012,2026-08-02
VE0652,V002,P137,L006,2026-02-04
VE0653,V050,P121,L013,2025-12-02
VE0654,V034,P023,L022,2026-01-06
VE0655,V030,P046,L026,2026-03-26
VE0656,V012,P090,L016,2026-07-15
VE0657,V030,P083,L009,2025-10-22
VE0658,V048,P093,L018,2025-10-01
VE0659,V041,P069,L016,2025-09-20
VE0660,V009,P098,L005,2025-11-27
VE0661,V037,P009,L011,2026-01-17
VE0662,V010,P024,L017,2026-04-05
VE0663,V050,P117,L013,2026-06-19
VE0664,V043,P142,L008,2025-11-24
