association_id,case_id,person_id,relationship
CA262,C035,P048,Associate
CA263,C035,P127,Suspect
CA264,C008,P109,Person Mentioned
CA265,C004,P019,Associate
CA266,C060,P005,Witness
CA267,C011,P103,Witness
CA268,C058,P011,Victim
CA269,C088,P003,Suspect
CA270,C038,P150,Witness
CA271,C027,P048,Associate
CA272,C059,P047,Victim
CA273,C036,P097,Person Mentioned
CA274,C029,P029,Associate
CA275,C021,P145,Victim
CA276,C057,P111,Witness
CA277,C072,P002,Person Mentioned
CA278,C029,P145,Suspect
CA279,C095,P102,Victim
CA280,C034,P016,Witness
CA281,C045,P141,Victim
CA282,C014,P057,Person Mentioned
CA283,C029,P033,Associate
CA284,C090,P041,Associate
CA285,C024,P139,Suspect
CA286,C021,P147,Suspect
CA287,C050,P057,Victim
CA288,C084,P013,Victim
CA289,C099,P145,Associate
CA290,C008,P033,Associate
CA291,C092,P108,Associate
CA292,C051,P085,Witness
CA293,C059,P043,Person Mentioned
CA294,C083,P078,Victim
CA295,C027,P126,Victim
CA296,C080,P096,Suspect
CA297,C058,P001,Person Mentioned
CA298,C070,P112,Victim
CA299,C001,P108,Associate
CA300,C047,P106,Suspect
CA301,C022,P012,Person Mentioned
CA302,C002,P027,Person Mentioned
CA303,C022,P012,Witness
CA304,C024,P020,Victim
CA305,C100,P077,Witness
CA306,C080,P009,Victim
CA307,C034,P139,Person Mentioned
CA308,C005,P150,Witness
CA309,C023,P041,Victim
CA310,C025,P064,Witness
CA311,C023,P002,Witness
CA312,C032,P092,Suspect
CA313,C006,P040,Victim
CA314,C084,P085,Victim
CA315,C008,P030,Person Mentioned
CA316,C094,P058,Victim
CA317,C037,P085,Suspect
CA318,C029,P104,Person Mentioned
CA319,C065,P142,Person Mentioned
CA320,C037,P054,Person Mentioned
CA321,C025,P063,Witness
CA322,C021,P076,Witness
CA323,C051,P042,Person Mentioned
CA324,C055,P034,Suspect
CA325,C069,P007,Victim
CA326,C073,P138,Witness
CA327,C016,P033,Victim
CA328,C097,P070,Suspect
CA329,C021,P149,Suspect
CA330,C057,P086,Person Mentioned
CA331,C051,P081,Person Mentioned
CA332,C077,P035,Suspect
CA333,C016,P037,Witness
CA334,C064,P103,Witness
CA335,C010,P124,Associate
CA336,C040,P096,Victim
CA337,C021,P017,Suspect
CA338,C050,P047,Person Mentioned
CA339,C100,P069,Suspect
CA340,C073,P053,Associate
CA341,C044,P026,Person Mentioned
CA342,C017,P047,Associate
CA343,C058,P020,Witness
CA344,C013,P124,Victim
CA345,C030,P103,Witness
CA346,C055,P071,Associate
CA347,C041,P039,Person Mentioned
CA348,C081,P103,Victim
CA349,C050,P027,Witness
CA350,C090,P007,Person Mentioned
CA351,C055,P031,Associate
CA352,C099,P059,Suspect
CA353,C001,P147,Person Mentioned
CA354,C021,P137,Victim
CA355,C041,P036,Victim
CA356,C008,P049,Witness
CA357,C091,P028,Suspect
CA358,C046,P059,Victim
CA359,C046,P003,Victim
CA360,C013,P070,Witness
CA361,C093,P036,Suspect
CA362,C075,P027,Victim
CA363,C031,P013,Person Mentioned
CA364,C057,P125,Person Mentioned
CA365,C060,P036,Victim
CA366,C060,P033,Victim
CA367,C089,P065,Witness
CA368,C020,P024,Person Mentioned
CA369,C070,P061,Victim
CA370,C081,P083,Person Mentioned
CA371,C015,P047,Suspect
CA372,C039,P139,Associate
CA373,C064,P011,Associate
CA374,C064,P098,Person Mentioned
CA375,C026,P054,Witness
CA376,C097,P044,Person Mentioned
CA377,C076,P143,Associate
CA378,C046,P025,Victim
CA379,C080,P015,Witness
CA380,C044,P120,Person Mentioned
CA381,C086,P075,Associate
CA382,C036,P015,Person Mentioned
CA383,C043,P129,Victim
CA384,C095,P135,Person Mentioned
CA385,C025,P139,Witness
CA386,C100,P083,Associate
CA387,C091,P123,Witness
CA388,C052,P045,Suspect
CA389,C095,P131,Victim
CA390,C051,P124,Witness
CA391,C085,P150,Witness
CA392,C047,P079,Witness
CA393,C100,P082,Victim
CA394,C011,P150,Associate
CA395,C022,P143,Witness
CA396,C023,P047,Victim
CA397,C002,P028,Person Mentioned
CA398,C024,P091,Associate
CA399,C022,P077,Associate
CA400,C023,P142,Associate
CA401,C025,P065,Witness
CA402,C083,P004,Suspect
CA403,C022,P042,Witness
CA404,C036,P023,Victim
CA405,C073,P147,Witness
CA406,C077,P003,Suspect
CA407,C078,P107,Associate
CA408,C022,P114,Suspect
CA409,C018,P105,Associate
CA410,C001,P068,Victim
CA411,C007,P149,Victim
CA412,C056,P050,Witness
CA413,C009,P123,Victim
CA414,C083,P011,Suspect
CA415,C092,P060,Person Mentioned
CA416,C010,P013,Suspect
CA417,C074,P057,Witness
CA418,C048,P052,Person Mentioned
CA419,C080,P046,Witness
CA420,C021,P077,Associate
CA421,C012,P023,Person Mentioned
CA422,C029,P098,Suspect
CA423,C089,P012,Associate
CA424,C003,P136,Witness
CA425,C060,P125,Suspect
CA426,C042,P103,Victim
CA427,C052,P029,Associate
CA428,C008,P122,Associate
CA429,C017,P101,Victim
CA430,C028,P135,Victim
CA431,C002,P004,Person Mentioned
CA432,C042,P059,Associate
CA433,C023,P052,Victim
CA434,C055,P024,Associate
CA435,C055,P038,Witness
CA436,C087,P029,Witness
CA437,C026,P106,Suspect
CA438,C002,P067,Victim
CA439,C092,P024,Associate
CA440,C039,P036,Witness
CA441,C092,P026,Associate
CA442,C045,P071,Victim
CA443,C015,P051,Associate
CA444,C023,P119,Associate
CA445,C085,P100,Person Mentioned
CA446,C047,P123,Associate
CA447,C097,P009,Associate
CA448,C089,P054,Victim
CA449,C078,P075,Witness
CA450,C080,P012,Victim
CA451,C055,P018,Associate
CA452,C042,P088,Suspect
CA453,C066,P141,Associate
CA454,C003,P023,Associate
CA455,C080,P145,Witness
CA456,C023,P077,Witness
CA457,C006,P044,Victim
CA458,C072,P057,Associate
CA459,C040,P069,Victim
CA460,C010,P128,Witness
CA461,C029,P069,Victim
CA462,C055,P086,Witness
CA463,C065,P100,Person Mentioned
CA464,C033,P115,Person Mentioned
CA465,C098,P003,Witness
CA466,C046,P076,Person Mentioned
CA467,C048,P058,Associate
CA468,C098,P036,Associate
CA469,C072,P146,Suspect
CA470,C036,P120,Witness
CA471,C026,P133,Associate
CA472,C094,P069,Suspect
CA473,C084,P004,Suspect
CA474,C077,P087,Witness
CA475,C065,P087,Victim
CA476,C062,P069,Witness
CA477,C012,P101,Victim
CA478,C031,P083,Person Mentioned
CA479,C078,P005,Suspect
CA480,C075,P057,Associate
CA481,C069,P020,Victim
CA482,C087,P110,Suspect
CA483,C040,P126,Associate
CA484,C095,P025,Victim
CA485,C029,P117,Person Mentioned
CA486,C067,P068,Victim
CA487,C028,P118,Suspect
CA488,C051,P097,Suspect
CA489,C070,P116,Victim
CA490,C054,P066,Associate
CA491,C060,P034,Associate
CA492,C097,P060,Associate
CA493,C071,P018,Victim
CA494,C085,P077,Suspect
CA495,C067,P096,Person Mentioned
CA496,C096,P147,Suspect
CA497,C008,P039,Associate
CA498,C061,P043,Person Mentioned
CA499,C015,P003,Person Mentioned
CA500,C040,P086,Suspect
