case_id,fir_number,crime_type,case_date,location_id
C059,FIR-2026-0059,Smuggling,2024-02-28,L016
C060,FIR-2026-0060,Robbery,2024-04-13,L030
C061,FIR-2026-0061,Assault,2023-11-03,L009
C062,FIR-2026-0062,Fraud,2023-10-19,L024
C063,FIR-2026-0063,Cybercrime,2026-03-14,L003
C064,FIR-2026-0064,Cybercrime,2025-03-24,L020
C065,FIR-2026-0065,Theft,2023-12-19,L018
C066,FIR-2026-0066,Robbery,2024-12-03,L011
C067,FIR-2026-0067,Fraud,2024-08-03,L003
C068,FIR-2026-0068,Robbery,2025-05-13,L022
C069,FIR-2026-0069,Robbery,2024-10-17,L010
C070,FIR-2026-0070,Cybercrime,2025-05-04,L020
C071,FIR-2026-0071,Smuggling,2024-04-02,L014
C072,FIR-2026-0072,Theft,2024-05-19,L023
C073,FIR-2026-0073,Cybercrime,2025-03-19,L012
C074,FIR-2026-0074,Cybercrime,2026-08-22,L002
C075,FIR-2026-0075,Smuggling,2023-09-16,L028
C076,FIR-2026-0076,Robbery,2024-04-22,L020
C077,FIR-2026-0077,Cybercrime,2025-04-07,L009
C078,FIR-2026-0078,Smuggling,2024-07-24,L026
C079,FIR-2026-0079,Fraud,2025-12-05,L003
C080,FIR-2026-0080,Smuggling,2026-07-10,L021
C081,FIR-2026-0081,Cybercrime,2024-07-10,L012
C082,FIR-2026-0082,Assault,2024-02-15,L026
C083,FIR-2026-0083,Smuggling,2025-06-06,L022
C084,FIR-2026-0084,Theft,2025-10-06,L001
C085,FIR-2026-0085,Theft,2026-03-13,L028
C086,FIR-2026-0086,Assault,2026-03-27,L022
C087,FIR-2026-0087,Cybercrime,2025-04-02,L002
C088,FIR-2026-0088,Theft,2025-02-15,L003
C089,FIR-2026-0089,Theft,2024-06-05,L025
C090,FIR-2026-0090,Smuggling,2025-08-14,L012
C091,FIR-2026-0091,Robbery,2024-08-27,L013
C092,FIR-2026-0092,Assault,2026-02-28,L002
C093,FIR-2026-0093,Assault,2025-04-18,L005
C094,FIR-2026-0094,Smuggling,2024-06-20,L015
C095,FIR-2026-0095,Robbery,2025-01-24,L012
C096,FIR-2026-0096,Cybercrime,2026-03-11,L025
C097,FIR-2026-0097,Fraud,2023-12-25,L019
C098,FIR-2026-0098,Theft,2026-05-03,L017
C099,FIR-2026-0099,Robbery,2025-05-16,L013
C100,FIR-2026-0100,Robbery,2023-12-12,L021
