transaction_id,sender_person_id,receiver_person_id,amount,transaction_date,transaction_type
T0109,P022,P037,7391.28,2026-03-11,Bank Transfer
T0110,P021,P077,87440.7,2026-02-22,Bank Transfer
T0111,P108,P135,21803.44,2026-03-08,IMPS
T0112,P048,P014,9697.91,2026-07-12,Bank Transfer
T0113,P088,P077,16871.06,2026-04-02,IMPS
T0114,P108,P124,47812.19,2026-01-17,NEFT
T0115,P112,P091,91303.48,2026-03-03,Bank Transfer
T0116,P003,P144,78415.7,2025-11-21,NEFT
T0117,P020,P149,61842.98,2026-08-24,IMPS
T0118,P082,P004,15475.37,2026-01-05,Bank Transfer
T0119,P038,P128,86497.98,2026-04-29,UPI
T0120,P105,P068,52308.82,2026-04-03,UPI
T0121,P116,P033,63612.16,2026-04-15,UPI
T0122,P010,P056,74697.9,2026-04-27,NEFT
T0123,P108,P140,77551.25,2025-09-12,Bank Transfer
T0124,P056,P090,21371.43,2026-02-23,NEFT
T0125,P148,P004,37340.51,2026-09-01,IMPS
T0126,P005,P078,89717.16,2026-02-02,UPI
T0127,P128,P117,41698.35,2025-12-26,IMPS
T0128,P091,P139,42871.99,2026-04-16,IMPS
T0129,P030,P046,46152.94,2025-10-14,IMPS
T0130,P046,P142,59691.74,2026-05-19,Bank Transfer
T0131,P098,P073,84586.62,2026-05-18,Bank Transfer
T0132,P073,P026,99538.64,2026-01-10,UPI
T0133,P023,P005,61817.91,2025-09-16,Bank Transfer
T0134,P027,P128,75119.4,2025-10-16,UPI
T0135,P114,P129,58332.74,2026-06-06,UPI
T0136,P075,P108,21581.18,2026-06-27,Bank Transfer
T0137,P142,P098,11892.86,2026-01-05,Bank Transfer
T0138,P032,P090,96777.8,2025-10-21,Bank Transfer
T0139,P106,P102,1256.71,2025-10-07,IMPS
T0140,P058,P130,28718.64,2026-05-09,IMPS
T0141,P079,P107,67493.43,2026-01-10,UPI
T0142,P107,P009,2045.24,2026-06-12,NEFT
T0143,P096,P133,82093.42,2026-03-08,IMPS
T0144,P086,P044,95936.48,2025-12-28,Bank Transfer
T0145,P062,P143,97362.29,2026-08-30,NEFT
T0146,P101,P014,80232.5,2026-08-06,Bank Transfer
T0147,P033,P100,97746.89,2026-05-13,NEFT
T0148,P104,P082,51969.07,2026-07-17,Bank Transfer
T0149,P060,P026,71147.47,2026-05-12,NEFT
T0150,P130,P031,63328.39,2026-03-24,Bank Transfer
T0151,P067,P142,16325.79,2025-10-26,IMPS
T0152,P053,P024,9779.91,2025-12-26,Bank Transfer
T0153,P003,P040,3267.92,2026-07-20,UPI
T0154,P147,P098,3016.34,2025-12-22,NEFT
T0155,P117,P092,19062.24,2026-02-23,NEFT
T0156,P077,P050,53774.01,2025-09-19,NEFT
T0157,P097,P067,66096.14,2026-03-24,IMPS
T0158,P022,P037,62930.08,2026-04-29,UPI
T0159,P029,P118,92756.3,2026-08-29,UPI
T0160,P028,P037,28605.07,2026-01-03,NEFT
T0161,P024,P020,49677.38,2025-11-03,IMPS
T0162,P054,P101,10516.84,2025-11-11,UPI
T0163,P106,P019,48908.47,2026-08-02,UPI
T0164,P054,P108,37837.81,2026-08-09,IMPS
T0165,P116,P042,18390.74,2026-05-10,UPI
T0166,P046,P146,63305.73,2026-06-05,UPI
T0167,P031,P088,99377.09,2025-12-29,Bank Transfer
T0168,P140,P002,16259.63,2026-04-20,IMPS
T0169,P032,P050,60808.02,2026-06-12,UPI
T0170,P133,P132,76215.62,2026-05-09,NEFT
T0171,P094,P030,89907.95,2026-03-08,UPI
T0172,P084,P036,22366.23,2026-02-22,NEFT
T0173,P069,P071,48416.7,2025-10-04,UPI
T0174,P090,P142,65366.49,2025-11-14,Bank Transfer
T0175,P127,P112,51509.33,2026-04-09,Bank Transfer
T0176,P050,P065,17709.47,2026-01-26,IMPS
T0177,P101,P027,58573.0,2026-08-14,IMPS
T0178,P043,P053,95399.33,2026-03-12,Bank Transfer
T0179,P111,P115,42661.86,2026-07-24,IMPS
T0180,P082,P028,60925.92,2026-08-25,Bank Transfer
T0181,P052,P146,35615.09,2025-11-13,UPI
T0182,P116,P043,89000.24,2026-05-25,IMPS
T0183,P105,P076,60586.27,2026-01-22,IMPS
T0184,P102,P008,11907.67,2026-02-28,IMPS
T0185,P110,P048,36095.58,2026-01-25,UPI
T0186,P056,P096,37510.45,2026-02-10,IMPS
T0187,P032,P003,32199.62,2026-08-23,UPI
T0188,P085,P055,46804.97,2025-11-14,IMPS
T0189,P060,P144,7090.4,2025-12-07,IMPS
T0190,P055,P135,22137.61,2026-02-12,IMPS
T0191,P020,P147,89320.07,2026-02-24,Bank Transfer
T0192,P112,P082,81432.75,2026-01-18,NEFT
T0193,P051,P013,80371.16,2026-04-20,Bank Transfer
T0194,P012,P071,42413.11,2026-08-08,UPI
T0195,P116,P044,60342.35,2026-05-21,Bank Transfer
T0196,P061,P148,2616.24,2025-11-05,UPI
T0197,P148,P002,91208.49,2026-04-25,IMPS
T0198,P034,P104,4182.32,2026-03-12,UPI
T0199,P087,P005,7410.68,2025-11-30,UPI
T0200,P107,P078,27830.02,2025-09-15,IMPS
T0201,P103,P021,55866.8,2025-09-18,IMPS
T0202,P127,P013,39636.09,2025-11-26,Bank Transfer
T0203,P127,P032,84386.03,2025-10-12,UPI
T0204,P008,P058,5259.51,2026-08-25,UPI
T0205,P036,P027,99357.27,2026-06-27,Bank Transfer
T0206,P058,P044,9257.66,2026-07-01,IMPS
T0207,P138,P002,93443.98,2026-01-03,UPI
T0208,P067,P012,11524.96,2026-04-21,IMPS
T0209,P020,P068,33268.23,2026-03-23,Bank Transfer
T0210,P070,P044,92523.41,2026-07-14,Bank Transfer
T0211,P031,P033,32273.6,2025-12-19,NEFT
T0212,P150,P106,63871.91,2026-02-27,UPI
T0213,P134,P136,24432.08,2026-05-13,Bank Transfer
T0214,P126,P072,32530.18,2026-05-12,Bank Transfer
T0215,P058,P024,26749.3,2026-06-15,IMPS
T0216,P022,P091,56072.27,2026-06-24,NEFT
T0217,P053,P020,7976.87,2026-01-09,Bank Transfer
T0218,P016,P055,1806.25,2026-03-17,NEFT
T0219,P120,P099,19197.78,2025-09-05,UPI
T0220,P088,P054,81492.54,2026-01-03,IMPS
T0221,P080,P117,65701.29,2025-12-23,UPI
T0222,P034,P057,91711.38,2026-05-17,Bank Transfer
T0223,P116,P132,20700.56,2025-11-24,Bank Transfer
T0224,P049,P018,28144.92,2026-08-02,NEFT
T0225,P079,P148,65014.1,2026-07-29,NEFT
T0226,P119,P028,74630.09,2025-09-11,NEFT
T0227,P005,P118,19109.46,2026-02-23,UPI
T0228,P122,P136,45537.77,2026-04-05,IMPS
T0229,P031,P141,8864.64,2026-06-16,Bank Transfer
T0230,P055,P039,39994.34,2026-04-07,Bank Transfer
T0231,P131,P086,5789.13,2026-03-16,IMPS
T0232,P095,P026,5388.87,2026-03-19,Bank Transfer
T0233,P109,P050,29753.59,2026-01-06,Bank Transfer
T0234,P046,P071,53191.49,2025-10-10,Bank Transfer
T0235,P133,P111,11363.86,2026-02-17,UPI
T0236,P064,P029,22348.19,2026-05-21,UPI
T0237,P010,P148,26984.74,2025-12-15,UPI
T0238,P137,P026,27908.22,2026-04-03,Bank Transfer
T0239,P101,P026,22378.89,2025-11-06,IMPS
T0240,P127,P053,17517.4,2026-03-08,NEFT
T0241,P089,P074,70732.41,2026-06-08,IMPS
T0242,P001,P025,18915.34,2026-02-09,Bank Transfer
T0243,P079,P062,17438.14,2026-02-09,UPI
T0244,P043,P048,33549.45,2026-08-05,Bank Transfer
T0245,P037,P004,66770.12,2026-06-07,Bank Transfer
T0246,P086,P006,18162.75,2025-10-10,IMPS
T0247,P020,P044,68080.69,2026-01-19,UPI
T0248,P091,P122,58524.31,2025-12-14,Bank Transfer
T0249,P064,P121,11383.91,2025-12-23,UPI
T0250,P146,P075,83618.22,2026-01-02,NEFT
T0251,P038,P025,10449.25,2026-03-24,IMPS
T0252,P116,P126,73614.09,2026-05-05,IMPS
T0253,P125,P065,36746.79,2026-02-20,UPI
T0254,P091,P078,71160.64,2026-04-17,Bank Transfer
T0255,P029,P070,68735.52,2026-01-25,UPI
T0256,P038,P106,85698.42,2025-11-29,NEFT
T0257,P092,P128,3575.02,2026-08-22,Bank Transfer
T0258,P093,P053,74564.33,2025-12-11,NEFT
T0259,P097,P028,96562.58,2026-07-23,Bank Transfer
T0260,P135,P045,26898.28,2026-03-25,IMPS
T0261,P085,P101,59120.21,2026-03-11,IMPS
T0262,P080,P049,4589.45,2026-07-30,IMPS
T0263,P032,P111,79635.62,2025-11-02,IMPS
T0264,P074,P029,96962.25,2026-02-15,Bank Transfer
T0265,P038,P120,68251.85,2025-09-13,IMPS
T0266,P143,P042,30712.74,2026-04-21,IMPS
T0267,P017,P076,2051.44,2026-01-02,UPI
T0268,P056,P073,82634.32,2025-10-24,UPI
T0269,P014,P126,30929.24,2026-07-18,Bank Transfer
T0270,P091,P001,5465.25,2026-05-30,NEFT
T0271,P090,P073,78633.7,2026-03-03,NEFT
T0272,P023,P070,14693.1,2026-05-16,NEFT
T0273,P111,P150,91866.85,2026-07-20,IMPS
T0274,P057,P009,47581.19,2025-12-05,IMPS
T0275,P064,P099,42545.05,2026-08-09,UPI
T0276,P067,P078,59905.36,2026-05-12,NEFT
T0277,P145,P112,68052.86,2025-12-25,IMPS
T0278,P149,P036,68490.46,2026-01-10,NEFT
T0279,P065,P035,41923.07,2025-09-09,NEFT
T0280,P078,P079,9016.99,2025-10-18,Bank Transfer
T0281,P140,P047,37908.61,2026-07-27,Bank Transfer
T0282,P025,P036,52893.85,2025-12-30,IMPS
T0283,P129,P092,47103.7,2025-11-20,Bank Transfer
T0284,P120,P108,96163.97,2026-05-20,Bank Transfer
T0285,P008,P144,3129.0,2026-08-27,Bank Transfer
T0286,P023,P036,61713.25,2026-07-26,IMPS
T0287,P063,P149,51464.58,2025-09-21,NEFT
T0288,P140,P145,87841.62,2025-09-27,UPI
T0289,P101,P033,40592.74,2025-09-22,UPI
T0290,P119,P133,46291.96,2026-07-07,UPI
T0291,P022,P015,27382.4,2025-10-01,UPI
T0292,P086,P025,82283.04,2026-06-11,Bank Transfer
T0293,P085,P016,12583.55,2025-09-18,UPI
T0294,P053,P133,14843.11,2025-10-30,Bank Transfer
T0295,P035,P058,89557.71,2025-12-11,NEFT
T0296,P078,P080,72054.63,2026-04-05,UPI
T0297,P125,P052,11913.53,2025-10-19,UPI
T0298,P040,P031,52222.34,2026-07-31,NEFT
T0299,P053,P027,47637.37,2026-07-18,Bank Transfer
T0300,P101,P015,92641.42,2025-09-15,IMPS
T0301,P104,P124,98278.28,2025-11-14,NEFT
T0302,P140,P067,82257.8,2025-12-18,Bank Transfer
T0303,P032,P111,15051.51,2025-11-02,UPI
T0304,P048,P037,81945.74,2026-01-19,NEFT
T0305,P044,P131,74295.64,2026-04-12,NEFT
T0306,P122,P123,29358.6,2026-06-25,UPI
T0307,P127,P095,66936.12,2026-04-24,Bank Transfer
T0308,P099,P028,46664.39,2025-10-26,Bank Transfer
T0309,P038,P008,28700.51,2026-06-28,UPI
T0310,P145,P100,1596.45,2025-12-14,IMPS
T0311,P009,P114,4741.86,2026-04-14,IMPS
T0312,P036,P120,88301.21,2025-10-01,Bank Transfer
T0313,P071,P003,98184.49,2026-06-17,IMPS
T0314,P129,P054,35208.99,2026-08-02,Bank Transfer
T0315,P132,P017,17862.44,2026-06-14,NEFT
T0316,P091,P145,34259.46,2025-11-05,NEFT
T0317,P072,P078,92385.96,2025-09-05,UPI
T0318,P124,P097,96274.22,2025-11-09,NEFT
T0319,P148,P130,77652.1,2025-10-01,IMPS
T0320,P034,P083,59090.78,2025-12-28,IMPS
T0321,P150,P104,7223.21,2025-09-20,UPI
T0322,P041,P060,10105.77,2026-05-18,UPI
T0323,P128,P122,32704.11,2026-05-14,NEFT
T0324,P061,P027,90029.53,2026-02-12,NEFT
T0325,P099,P108,92276.39,2026-04-16,UPI
T0326,P065,P030,4223.12,2026-03-10,UPI
T0327,P114,P096,60850.06,2025-11-01,UPI
T0328,P045,P083,11212.27,2026-05-01,Bank Transfer
T0329,P097,P035,98892.65,2025-11-24,NEFT
T0330,P051,P065,49364.75,2025-11-06,IMPS
T0331,P058,P052,74344.31,2026-01-09,Bank Transfer
T0332,P136,P050,9058.82,2026-09-03,UPI
T0333,P025,P053,3807.3,2026-04-23,NEFT
T0334,P002,P093,77551.37,2026-06-25,UPI
T0335,P088,P048,68394.94,2026-08-12,Bank Transfer
T0336,P049,P054,57251.82,2025-12-31,Bank Transfer
T0337,P129,P091,35970.28,2025-12-16,NEFT
T0338,P018,P113,43037.42,2026-02-11,Bank Transfer
T0339,P019,P146,8275.31,2025-09-29,IMPS
T0340,P026,P031,50121.87,2026-05-25,UPI
T0341,P139,P085,2742.98,2026-04-24,IMPS
T0342,P065,P100,70475.69,2026-02-28,UPI
T0343,P041,P074,7940.32,2025-12-03,NEFT
T0344,P133,P129,31567.81,2025-11-21,UPI
T0345,P140,P029,58485.86,2026-05-20,IMPS
T0346,P008,P009,34135.5,2026-06-04,IMPS
T0347,P052,P086,88858.79,2026-06-18,UPI
T0348,P036,P053,54935.19,2025-09-20,IMPS
T0349,P016,P061,49608.73,2026-01-28,UPI
T0350,P089,P019,95015.82,2025-11-13,UPI
T0351,P142,P123,94686.77,2026-03-13,IMPS
T0352,P011,P027,4042.21,2025-09-27,NEFT
T0353,P090,P111,48020.46,2026-02-23,NEFT
T0354,P006,P015,3122.21,2026-04-11,NEFT
T0355,P137,P098,68353.15,2025-12-26,UPI
T0356,P142,P124,5687.97,2026-01-25,Bank Transfer
T0357,P033,P111,70283.11,2026-01-20,NEFT
T0358,P030,P113,12240.26,2026-04-27,IMPS
T0359,P091,P050,34641.0,2026-02-01,UPI
T0360,P061,P060,9653.09,2026-05-30,UPI
T0361,P059,P106,74873.83,2025-09-27,UPI
T0362,P004,P064,81355.88,2025-10-29,UPI
T0363,P015,P033,44136.31,2025-11-11,IMPS
T0364,P012,P081,35291.91,2026-04-19,NEFT
T0365,P075,P034,60809.32,2025-10-15,Bank Transfer
T0366,P032,P020,8099.6,2025-10-13,NEFT
T0367,P127,P092,89815.2,2026-08-31,NEFT
T0368,P114,P078,94171.99,2026-02-04,IMPS
T0369,P063,P135,89351.36,2026-02-07,IMPS
T0370,P139,P129,10885.63,2026-04-05,IMPS
T0371,P106,P125,28338.49,2026-05-17,NEFT
T0372,P036,P134,23438.32,2026-01-25,NEFT
T0373,P032,P096,72628.62,2026-03-10,NEFT
T0374,P010,P061,69985.02,2026-06-26,Bank Transfer
T0375,P030,P006,50141.3,2026-08-26,UPI
T0376,P070,P072,59029.9,2025-12-27,IMPS
T0377,P022,P016,28269.7,2026-03-19,Bank Transfer
T0378,P127,P005,86345.89,2026-01-08,Bank Transfer
T0379,P114,P012,22832.62,2026-04-03,Bank Transfer
T0380,P048,P111,53482.95,2026-04-29,IMPS
T0381,P009,P139,76418.13,2026-08-28,UPI
T0382,P087,P068,81119.25,2026-06-27,NEFT
T0383,P008,P088,72715.74,2025-12-12,Bank Transfer
T0384,P110,P015,80835.97,2026-04-12,Bank Transfer
T0385,P074,P137,46618.5,2026-08-10,IMPS
T0386,P042,P098,46999.58,2026-05-29,NEFT
T0387,P034,P004,28429.66,2026-08-19,IMPS
T0388,P022,P064,77248.25,2026-04-21,IMPS
T0389,P087,P147,39762.82,2026-04-01,IMPS
T0390,P093,P069,66093.38,2025-09-17,UPI
T0391,P032,P079,57059.89,2026-02-03,IMPS
T0392,P068,P046,44658.96,2026-06-24,UPI
T0393,P113,P003,46910.73,2025-10-23,IMPS
T0394,P123,P143,22175.33,2026-08-24,UPI
T0395,P149,P021,28006.34,2025-10-02,IMPS
T0396,P017,P113,18390.49,2026-06-12,IMPS
T0397,P067,P127,13158.64,2026-08-07,NEFT
T0398,P038,P013,23650.91,2026-03-05,UPI
T0399,P048,P130,86126.74,2025-11-29,IMPS
T0400,P011,P142,71877.09,2026-09-02,UPI
T0401,P067,P066,2103.76,2026-04-09,IMPS
T0402,P139,P012,60257.59,2025-10-31,IMPS
T0403,P028,P020,50940.32,2026-03-02,UPI
T0404,P131,P020,24079.38,2026-01-08,IMPS
T0405,P147,P096,82999.22,2026-07-23,Bank Transfer
T0406,P019,P110,87647.39,2026-06-06,NEFT
T0407,P007,P084,60893.19,2025-09-18,IMPS
T0408,P086,P105,89790.53,2026-01-03,IMPS
T0409,P121,P076,62380.68,2026-04-04,NEFT
T0410,P095,P012,29441.83,2026-03-23,NEFT
T0411,P007,P028,61099.3,2026-07-25,IMPS
T0412,P131,P149,71427.6,2026-02-12,NEFT
T0413,P097,P150,3743.65,2026-01-03,NEFT
T0414,P098,P021,95540.35,2026-04-24,NEFT
T0415,P145,P129,99782.39,2025-10-02,Bank Transfer
T0416,P138,P032,84835.71,2025-11-18,UPI
T0417,P121,P135,52273.43,2026-04-26,IMPS
T0418,P069,P050,83682.89,2025-09-13,IMPS
T0419,P063,P085,24685.8,2025-09-28,IMPS
T0420,P060,P117,31824.23,2025-12-20,UPI
T0421,P062,P114,73413.43,2026-06-30,Bank Transfer
T0422,P093,P021,35522.47,2026-01-01,UPI
T0423,P093,P124,60719.25,2026-06-27,Bank Transfer
T0424,P108,P059,57149.55,2026-03-13,NEFT
T0425,P138,P063,77756.6,2025-11-07,Bank Transfer
T0426,P150,P036,60751.79,2026-07-17,IMPS
T0427,P088,P081,12237.42,2026-03-27,Bank Transfer
T0428,P108,P130,98333.15,2026-01-09,Bank Transfer
T0429,P051,P047,87702.37,2025-09-07,UPI
T0430,P043,P031,42153.25,2025-12-08,Bank Transfer
T0431,P026,P033,87011.15,2026-05-01,Bank Transfer
T0432,P007,P043,98998.38,2026-04-26,NEFT
T0433,P132,P136,91902.99,2026-08-01,Bank Transfer
T0434,P091,P033,40530.59,2026-04-26,NEFT
T0435,P076,P031,34012.43,2026-05-01,IMPS
T0436,P028,P012,7838.38,2025-12-08,IMPS
T0437,P115,P105,63267.78,2026-03-26,Bank Transfer
T0438,P075,P123,70161.31,2026-05-12,NEFT
T0439,P131,P022,15649.51,2026-08-14,UPI
T0440,P095,P117,38247.77,2026-06-14,Bank Transfer
T0441,P046,P131,72392.05,2026-07-16,IMPS
T0442,P025,P060,30086.18,2025-10-25,IMPS
T0443,P013,P145,52008.93,2026-01-04,Bank Transfer
T0444,P074,P083,38714.74,2026-01-08,NEFT
T0445,P037,P011,81491.72,2026-02-06,NEFT
T0446,P111,P133,28186.49,2025-10-30,IMPS
T0447,P026,P089,28836.7,2026-02-18,UPI
T0448,P074,P071,48920.25,2026-05-18,NEFT
T0449,P044,P074,93950.89,2025-12-10,IMPS
T0450,P028,P060,66810.14,2026-04-29,NEFT
T0451,P025,P053,55440.26,2026-02-18,NEFT
T0452,P008,P011,96005.74,2026-03-04,NEFT
T0453,P002,P126,83334.2,2025-09-26,UPI
T0454,P095,P053,28542.83,2026-08-26,Bank Transfer
T0455,P114,P134,13054.78,2026-08-03,Bank Transfer
T0456,P076,P029,71766.97,2025-10-03,UPI
T0457,P114,P111,49578.93,2026-06-28,UPI
T0458,P036,P072,73297.56,2025-10-15,UPI
T0459,P091,P021,74555.61,2026-05-21,NEFT
T0460,P020,P084,16094.36,2026-08-05,IMPS
T0461,P071,P117,63247.08,2025-11-26,UPI
T0462,P081,P010,43621.07,2026-01-24,IMPS
T0463,P049,P143,66282.48,2026-05-19,UPI
T0464,P003,P063,14119.03,2026-03-09,Bank Transfer
T0465,P057,P051,26895.96,2026-04-21,NEFT
T0466,P125,P048,73489.29,2026-05-24,IMPS
T0467,P034,P051,63659.89,2025-11-19,UPI
T0468,P133,P055,818.17,2025-11-15,UPI
T0469,P126,P143,61316.11,2026-06-07,NEFT
T0470,P010,P108,68954.18,2025-11-16,Bank Transfer
T0471,P150,P061,63952.61,2026-08-04,Bank Transfer
T0472,P136,P047,87850.02,2026-02-25,NEFT
T0473,P075,P125,49277.09,2026-01-13,Bank Transfer
T0474,P092,P140,48355.43,2026-01-26,UPI
T0475,P057,P029,96310.44,2025-10-04,IMPS
T0476,P108,P115,32877.01,2025-10-20,Bank Transfer
T0477,P030,P046,46741.23,2025-10-07,IMPS
T0478,P030,P089,69848.37,2026-04-16,NEFT
T0479,P124,P126,60305.35,2026-07-20,NEFT
T0480,P008,P075,27158.42,2026-04-23,NEFT
T0481,P105,P016,56444.6,2025-12-27,IMPS
T0482,P067,P082,41417.29,2026-02-28,Bank Transfer
T0483,P109,P103,26439.59,2026-05-01,UPI
T0484,P069,P125,72954.59,2026-02-09,IMPS
T0485,P012,P079,45039.82,2026-02-09,NEFT
T0486,P147,P043,53833.3,2026-01-01,UPI
T0487,P085,P034,60693.64,2025-12-26,UPI
T0488,P006,P098,9480.14,2026-07-31,IMPS
T0489,P091,P142,6814.75,2026-06-10,UPI
T0490,P133,P054,36528.73,2025-09-19,NEFT
T0491,P041,P138,39854.87,2025-11-08,NEFT
T0492,P075,P042,91110.05,2026-01-13,IMPS
T0493,P106,P056,55518.64,2026-06-18,NEFT
T0494,P004,P010,84625.46,2026-05-03,UPI
T0495,P129,P102,79238.67,2026-07-22,UPI
T0496,P041,P073,30495.91,2026-05-29,NEFT
T0497,P064,P009,27609.6,2025-10-29,UPI
T0498,P097,P103,13553.72,2026-04-01,IMPS
T0499,P022,P020,7852.08,2026-01-06,Bank Transfer
T0500,P006,P004,74393.87,2025-10-04,NEFT
T0501,P025,P101,19831.27,2025-10-13,IMPS
T0502,P083,P109,51479.39,2025-10-19,UPI
T0503,P078,P071,46161.11,2026-04-15,UPI
T0504,P068,P148,47404.34,2026-08-25,IMPS
T0505,P110,P024,22614.17,2025-10-23,Bank Transfer
T0506,P144,P072,48593.28,2025-09-16,NEFT
